Gene_1,Gene_2
SETD7,INTU
SETD7,ANTXR2
SGMS2,HHIP-AS1
SGMS2,KLHL8
SGMS2,SMARCA5
SGMS2,SDAD1
SGMS2,ANXA5
SGMS2,SMARCAD1
SGMS2,COX18
SGMS2,ANTXR2
SGMS2,SHROOM3
SGMS2,CXCL5
SGMS2,UBE2D3
SGMS2,FAM13A
SGMS2,NOCT
SGMS2,ABCE1
SGMS2,AREG
SGMS2,SPRY1
SGMS2,TIGD2
SHROOM3,GPAT3
SHROOM3,FAM47E
SLC9B2,PDLIM5
SMAD1,NAAA
SMAD1,MMRN1
SMAD1,BMP3
SMAD1,SLC39A8
SMAD1,CNOT6L
SMAD1,PTPN13
SMAD1,TSPAN5
SMAD1,PPP3CA
SMAD1,ANXA3
SMARCA5,AFF1
SMARCA5,AREG
SMARCAD1,NFKB1
SMARCAD1,BLTP1
SNCA,HNRNPDL
SNCA,CCNI
SNCA,HPSE
SNCA,HADH
SNCA,BLTP1
SNCA,CISD2
SOWAHB,USO1
SOWAHB,CNOT6L
SOWAHB,ARSJ
SOWAHB,PLAC8
SOWAHB,CDS1
SOWAHB,NDNF
SOWAHB,SHROOM3
SOWAHB,SGMS2
SOWAHB,FAM47E
SOWAHB,LARP7
SOWAHB,SCLT1
SPARCL1,SMAD1
SPARCL1,CISD2
SPARCL1,ENOPH1
SPARCL1,PKD2
SPARCL1,ANKRD50
SPARCL1,G3BP2
SPARCL1,PDE5A
SPARCL1,CFI
SPARCL1,FRAS1
SPARCL1,EMCN
SPARCL1,CDKL2
SPARCL1,LIN54
SPARCL1,BMP3
SPARCL1,GPAT3
SPARCL1,MMRN1
SPARCL1,PPP3CA
SPARCL1,GPRIN3
SPRY1,BLTP1
STBD1,HPSE
STBD1,SHROOM3
STBD1,SEC24B-AS1
STBD1,TIGD2
STBD1,MCUB
STBD1,DNAJB14
STBD1,DAPP1
SYNPO2,PDE5A
SYNPO2,RNF150
SYNPO2,PKD2
SYNPO2,ADH1B
SYNPO2,ANXA3
SYNPO2,INPP4B
TBC1D9,MRPL1
TBC1D9,PPM1K
TBC1D9,FRAS1
TBC1D9,SCD5
TBC1D9,BDH2
TBC1D9,PARM1
TBC1D9,BTC
TBCK,CDS1
TBCK,HPGDS
TET2,PGRMC2
TET2,DAPP1
TET2,BMP2K
TET2,HNRNPDL
TET2,ANTXR2
TET2,SCLT1
TET2,GPAT3
TET2,CXCL11
TET2,LARP7
TET2,SETD7
TET2,NFKB1
TET2,ABHD18
TET2,ELF2
TET2,ALPK1
TET2,SMARCAD1
TET2,INTU
TET2,OTUD4
TET2,WDFY3
TET2,FLJ20021
TET2,FAM13A
TET2,CCNI
TET2,ADH5
TET2,BLTP1
TET2,HADH
TET2,GTF2IP12
TET2,SCD5
THAP6,NOCT
THAP6,ANXA5
THAP6,USO1
THAP6,INTU
THAP6,MFSD8
THAP6,UBE2D3
THAP6,ABHD18
THAP9-AS1,ABHD18
THAP9-AS1,ZGRF1
THAP9-AS1,ADH5
THAP9-AS1,SCLT1
THAP9-AS1,BLTP1
THAP9-AS1,LARP1B
THAP9-AS1,SEPTIN7P14
THAP9-AS1,CCNI
THAP9-AS1,ANXA5
THAP9-AS1,HNRNPDL
THAP9-AS1,ANTXR2
THAP9-AS1,TET2
THAP9-AS1,PGRMC2
TIFA,UBE2D3
TIFA,PTPN13
TIFA,H2AZ1
TIFA,AREG
