protein1,protein2
USO1,BET1
USO1,COG3
USO1,SEC22B
CUL2,COPS4
HCK,DAPP1
HCK,CXCL8
HCK,GAB1
HCK,SNCA
HCK,PTPN13
CPSF3L,INTS12
PIK3C2G,INPP4B
CNOT4,EIF4E
CNOT4,CNOT6L
MMAB,MMAA
VIM,CASP6
RRP12,SDAD1
RAN,NUP54
RAN,NFKB1
LSM14A,EIF4E
BPNT1,PAPSS1
BAZ2A,SMARCA5
RPL18,RPL34
FRS2,GAB1
RAB3IP,BBS7
NUP37,HSPA4L
NUP37,EIF4E
APAF1,CASP6
C17orf49,SMARCA5
RPLP0,ABCE1
RPLP0,RPL34
ENSG00000257411,SDAD1
MRPL42,MRPL1
MRPL42,MRPS18C
UBE2J1,UBE2D3
HNRNPC,HNRNPD
HNRNPC,NUP54
NUMB,BMP2K
MOAP1,RASSF6
LIN52,LIN54
AKT1,NFKB1
AKT1,LAMTOR3
AKT1,GAB1
RGMA,SMAD1
NAA30,NAA15
ITGB3,SPP1
ITGB3,FGF2
RPL28,RPL34
MAN2A2,RAB33B
NUSAP1,MAD2L1
NUSAP1,CCNA2
TRAF3,MAPK10
RBM15B,METTL14
ENSG00000260342,RPL34
ENSG00000260836,RPL34
SNUPN,NUP54
SCAPER,CCNA2
BOP1,GAR1
OBSCN,ANK2
ST20-MTHFS,MTHFD2L
KCTD13,KLHL8
MLST8,EIF4E
INO80E,COPS4
SZT2,LAMTOR3
USP10,G3BP2
OST4,OSTC
ACTG1,ANXA5
METTL4,METTL14
NDUFAB1,NDUFC1
ALOX15,CYP2U1
NUP88,EIF4E
NUP88,NUP54
NUP88,HSPA4L
PRPF8,LSM6
RSL1D1,SDAD1
CTDNEP1,PPP3CA
MRPS21,MRPS18C
HIST2H4B,SMARCA5
YES1,UNC5C
YES1,DAPP1
YES1,PTPN13
YES1,SNCA
HIST2H4A,SMARCA5
GDF2,SMAD1
RPL17-C18orf32,RPL34
SEC22B,SEC24B
SEC22B,USO1
RPL26,RPL34
RPL36,RPL34
C18orf32,RPL34
RPL27,RPL34
MAP4K1,DAPP1
ACSBG2,ELOVL6
TLE2,LEF1
TTN,ANXA5
UQCR11,NDUFC1
RPS15,ABCE1
RPS15,RPL34
RPS15,MRPL1
SARM1,MAPK10
ERC1,NFKB1
MAP2K6,CXCL11
MAP2K6,CXCL10
MAP2K6,PF4
PAK4,GAB1
NTF4,GAB1
LSM4,LSM6
UPF1,EIF4E
IL12RB1,NFKB1
RPS19,ABCE1
RPS19,RPL34
NUP62,EIF4E
NUP62,NUP54
NUP62,HSPA4L
IRF3,HERC5
RPS28,ABCE1
RPS28,RPL34
RPS5,ABCE1
RPS5,RPL34
RUVBL2,GAR1
FBLL1,GAR1
CCL5,CXCL9
CCL5,CXCL8
CCL5,CXCL1
CCL5,CXCL2
CCL5,CXCL10
CCL5,PF4
HADH,ACAA2
HADH,EHHADH
HADH,ACAA1
HADH,ACAT1
HADH,ACADM
HADH,SCP2
HADH,ECHS1
HADH,HADHB
RPS10-NUDT3,ABCE1
RPS10-NUDT3,RPL34
DCP1A,LSM6
WDR18,SDAD1
HIST1H2BJ,SMARCA5
GAN,KLHL8
PPM1K,BCKDHB
PPM1K,DBT
PPM1K,DLD
PPM1K,BCKDHA
SCOC,FEZ2
SCOC,FEZ1
CYP4F8,CYP2U1
BIRC2,CASP6
BIRC2,UBE2D3
CPEB1,EIF4E
ANAPC16,ANAPC10
ANAPC16,MAD2L1
TPT1,RPL34
PTCRA,MAML3
AATF,SDAD1
TOX4,PPP3CA
CCL3,CXCL1
CCL3,CXCL2
CCL3,CXCL8
CCL3,CXCL10
NOS1,PPP3CA
ENSG00000214026,MRPS18C
MTHFD1L,MTHFD2L
POLR2E,METTL14
UBE2F,UBE2D3
ANAPC10,BUB1B
ANAPC10,CDC23
ANAPC10,CDC6
ANAPC10,ANAPC1
ANAPC10,BMI1
ANAPC10,FZR1
ANAPC10,RING1
ANAPC10,CDC20
ANAPC10,BRCC3
ANAPC10,CDKN1A
ANAPC10,PCGF6
ANAPC10,ANAPC5
ANAPC10,CUL7
ANAPC10,ANAPC16
ANAPC10,BRCA1
ANAPC10,ANAPC11
ANAPC10,ANAPC15
ANAPC10,UBE2D1
ANAPC10,MAD2L1
ANAPC10,CDC26
ANAPC10,UBE2S
ANAPC10,BUB3
ANAPC10,NEK2
ANAPC10,CDC27
ANAPC10,CBX8
ANAPC10,FBXO5
ANAPC10,UBE2C
ANAPC10,CDKN1B
ANAPC10,RNF2
ANAPC10,ANAPC4
ANAPC10,CDC16
ANAPC10,ANAPC2
ANAPC10,ANAPC13
ANAPC10,BRE
ANAPC10,BARD1
ANAPC10,ANAPC7
ZNF274,MAPK10
VEGFA,GAB1
VEGFA,FGF2
DDX6,EIF4E
DDX6,LSM6
PPP1R9B,PPP3CA
YAP1,SMAD1
ENC1,KLHL8
HIST1H4A,SMARCA5
HIST1H4D,SMARCA5
PCID2,MAD2L1
UHRF1,CCNA2
MYC,MAML3
MYC,HPGDS
MYC,LEF1
RPS6KA5,NFKB1
HIST1H4K,SMARCA5
POLR2A,METTL14
TRAPPC3,USO1
ITCH,UBE2D3
CCL3L3,CXCL10
CCL3L3,CXCL8
CCL3L3,CXCL1
CCL3L3,CXCL2
HIST1H3A,SETD7
HIST1H4L,SMARCA5
MCM3,CCNA2
PSMC3,NFKB1
PSMC3,HNRNPD
PSMC3,SNCA
CYFIP1,EIF4E
E2F8,CCNA2
HIST1H4I,SMARCA5
GRIA3,CAMK2D
TNFAIP3,TNIP3
RPS10,ABCE1
RPS10,RPL34
SPRY1,HRAS
SPRY1,SPRY3
SPRY1,GRB2
SPRY1,SPRY4
SPRY1,RASA1
SPRY1,CBL
SPRY1,SPRY2
SPRY1,PTPRB
RSRC1,RPL34
GNB1,CXCL8
PTGES3,GAR1
PTGES3,HPGDS
CPEB3,CNOT6L
PLEKHA2,PTPN13
CCL4,CXCL8
CCL4,CXCL2
CCL4,CXCL1
CCL4,CXCL10
TTC8,BBS12
TTC8,BBS7
PLCG2,DAPP1
MGST2,MGST1
HIST1H2BB,LEF1
PTPN9,PTPN13
DCAF7,COPS4
HNRNPDL,HNRNPH3
HNRNPDL,HNRNPH1
HNRNPDL,HNRNPF
HNRNPDL,STAT4
HNRNPDL,PTBP1
HNRNPDL,HNRNPL
NSA2,SDAD1
DDX27,SDAD1
FURIN,ANTXR2
PSMB3,NFKB1
PSMB3,HNRNPD
NPRL3,LAMTOR3
IKBKG,NFKB1
IKBKG,UBE2D3
TSPAN33,TSPAN5
CPSF1,NUP54
GATSL2,LAMTOR3
HIST1H4E,SMARCA5
EXOC5,PKD2
MRPL45,MRPL1
EIF3L,ABCE1
