protein1,protein2
FGF2,SDC2
FGF2,KRAS
FGF2,THBS1
FGF2,S100B
FGF2,FLT1
FGF2,GPC3
FGF2,FGFR1
FGF2,MMP3
FGF2,POU5F1
FGF2,HGF
FGF2,NTRK1
FGF2,IL17F
FGF2,BMP2
FGF2,EGF
FGF2,API5
FGF2,FGF6
FGF2,SOX2
FGF2,MMP9
FGF2,MAPK3
FGF2,TIMP1
FGF2,ITGAV
FGF2,MMP1
FGF2,HRAS
FGF2,FGFR2
FGF2,PTX3
FGF2,LCN2
FGF2,FGFR3
FGF2,SDC3
FGF2,IL23A
FGF2,VEGFA
FGF2,ITGB3
FGF2,NRAS
FGF2,SDC1
FGF2,FGFRL1
FGF2,TGFB1
FGF2,KDR
FGF2,KAL1
FGF2,MAPK1
FGF2,IGF1
FGF2,SDC4
FGF2,GPC1
FGF2,CD44
BBS7,BBS9
BBS7,BBS5
BBS7,BBS10
BBS7,LZTFL1
BBS7,CCT4
BBS7,ARL6
BBS7,TTC8
BBS7,CCT8
BBS7,BBS4
BBS7,BBIP1
BBS7,CCT5
BBS7,BBS1
BBS7,CCT3
BBS7,BBS12
BBS7,MKKS
BBS7,RAB3IP
BBS7,TCP1
BBS7,CCT2
BBS7,BBS2
RBBP5,COPS4
UBE2S,ANAPC10
UBE2S,CXCL8
UBE2S,UBE2D3
HDAC4,NUP54
WNT5A,MAPK10
PSMD3,NFKB1
PSMD3,HNRNPD
STAT3,FGF2
STAT3,CXCL8
DNMT3A,TET2
ITGA9,SPP1
NUP54,SNRPB
NUP54,HSPA5
NUP54,HNRNPC
NUP54,NUP155
NUP54,CPSF3
NUP54,HSPA4L
NUP54,HSPA1B
NUP54,CPSF4
NUP54,CPSF1
NUP54,NUTF2
NUP54,GLE1
NUP54,NUP98
NUP54,NUP160
NUP54,NUP43
NUP54,HSPA13
NUP54,NUP205
NUP54,HSPA2
NUP54,SNRPF
NUP54,NUP88
NUP54,NUP62
NUP54,HSPA9
NUP54,CDK1
NUP54,EIF4E
NUP54,HSPA12A
NUP54,GEMIN6
NUP54,C11orf73
NUP54,SEC13
NUP54,NUP214
NUP54,CDCA8
NUP54,DDX20
NUP54,RAE1
NUP54,SEH1L
NUP54,SNUPN
NUP54,IPO8
NUP54,BIRC5
NUP54,GEMIN2
NUP54,KPNB1
NUP54,WDR33
NUP54,NUP107
NUP54,HSPA1A
NUP54,HDAC4
NUP54,SP100
